,From Date,To Date,Remote Station ID,Station,Total Fares for the Week,Contains Holiday,Gas Price
0,2021-07-31,2021-08-06,R001,WHITEHALL STREET,52469.0,No,3.21
1,2021-07-31,2021-08-06,R003,CYPRESS HILLS,3029.0,No,3.21
2,2021-07-31,2021-08-06,R004,75TH STREET & ELDERTS LANE,8455.0,No,3.21
3,2021-07-31,2021-08-06,R005,85TH STREET & FOREST PKWAY,8678.0,No,3.21
4,2021-07-31,2021-08-06,R006,WOODHAVEN BOULEVARD,9821.0,No,3.21
5,2021-07-31,2021-08-06,R007,104TH STREET,6275.0,No,3.21
6,2021-07-31,2021-08-06,R008,111TH STREET,4925.0,No,3.21
7,2021-07-31,2021-08-06,R009,121ST STREET,4636.0,No,3.21
8,2021-07-31,2021-08-06,R010,42ND STREET & 8TH AVENUE,65341.0,No,3.21
9,2021-07-31,2021-08-06,R011,42ND STREET & 8TH AVENUE,136032.0,No,3.21
10,2021-07-31,2021-08-06,R012,34TH STREET & 8TH AVENUE,114961.0,No,3.21
11,2021-07-31,2021-08-06,R013,34TH STREET & 8TH AVENUE,37380.0,No,3.21
12,2021-07-31,2021-08-06,R014,FULTON STREET,102592.0,No,3.21
13,2021-07-31,2021-08-06,R015,FIFTH AVENUE,35717.0,No,3.21
14,2021-07-31,2021-08-06,R016,LEXINGTON AVENUE,9399.0,No,3.21
15,2021-07-31,2021-08-06,R017,LEXINGTON AVENUE,55073.0,No,3.21
16,2021-07-31,2021-08-06,R018,ROOSEVELT AVE/JACKSON HTS,139251.0,No,3.21
17,2021-07-31,2021-08-06,R019,179TH STREET & HILLSIDE AVE,36883.0,No,3.21
18,2021-07-31,2021-08-06,R020,47-50 STREETS/ROCKEFELLER,91882.0,No,3.21
19,2021-07-31,2021-08-06,R021,42ND STREET & 6TH AVENUE,64585.0,No,3.21
20,2021-07-31,2021-08-06,R022,34TH STREET & 6TH AVENUE,138595.0,No,3.21
21,2021-07-31,2021-08-06,R023,34TH STREET & 6TH AVENUE,88739.0,No,3.21
22,2021-07-31,2021-08-06,R024,SUTPHIN BOULEVARD,56256.0,No,3.21
23,2021-07-31,2021-08-06,R025,JAMAICA CENTER-PARSONS BLVD,54505.0,No,3.21
24,2021-07-31,2021-08-06,R027,WALL STREET,29868.0,No,3.21
25,2021-07-31,2021-08-06,R028,FULTON & WILLIAM STREETS,43056.0,No,3.21
26,2021-07-31,2021-08-06,R029,PARK PLACE,70404.0,No,3.21
27,2021-07-31,2021-08-06,R030,CHAMBERS STREET,26991.0,No,3.21
28,2021-07-31,2021-08-06,R031,34TH STREET & 7TH AVENUE,47648.0,No,3.21
29,2021-07-31,2021-08-06,R032,42ND STREET/TIMES SQUARE,72755.0,No,3.21
30,2021-07-31,2021-08-06,R033,42ND STREET/TIMES SQUARE,96949.0,No,3.21
